branin,neg_branin
35.008576,-35.008576
12.860127,-12.860127
80.518802,-80.518802
20.175333,-20.175333
150.06142,-150.06142
40.247172,-40.247172
8.3885633,-8.3885633
33.121542,-33.121542
122.46244,-122.46244
181.30611,-181.30611
18.208363,-18.208363
19.04105,-19.04105
89.284087,-89.284087
6.2535622,-6.2535622
25.807482,-25.807482
6.3680885,-6.3680885
136.53815,-136.53815
61.864871,-61.864871
65.433987,-65.433987
21.810724,-21.810724
49.477978,-49.477978
19.681968,-19.681968
11.091223,-11.091223
14.21864,-14.21864
101.59536,-101.59536
64.60968,-64.60968
84.26017,-84.26017
9.7138313,-9.7138313
150.9062,-150.9062
20.439147,-20.439147
13.399972,-13.399972
22.766378,-22.766378
105.97195,-105.97195
96.54318,-96.54318
27.757123,-27.757123
53.151827,-53.151827
45.214514,-45.214514
21.624023,-21.624023
3.3607249,-3.3607249
18.469644,-18.469644
68.307121,-68.307121
87.726068,-87.726068
34.293473,-34.293473
7.0610421,-7.0610421
167.62395,-167.62395
7.8284039,-7.8284039
12.99556,-12.99556
5.8074683,-5.8074683
95.676321,-95.676321
35.804596,-35.804596
103.34152,-103.34152
11.935503,-11.935503
100.12993,-100.12993
33.817665,-33.817665
81.725252,-81.725252
35.181322,-35.181322
193.58793,-193.58793
168.99344,-168.99344
39.662458,-39.662458
9.4956872,-9.4956872
61.263238,-61.263238
19.550789,-19.550789
4.9372642,-4.9372642
1.3243841,-1.3243841
151.39557,-151.39557
104.5864,-104.5864
41.191775,-41.191775
32.484431,-32.484431
32.363826,-32.363826
21.67255,-21.67255
0.89053421,-0.89053421
16.863685,-16.863685
101.03436,-101.03436
169.30004,-169.30004
44.381407,-44.381407
2.6658274,-2.6658274
106.83617,-106.83617
9.8595969,-9.8595969
5.8691615,-5.8691615
26.876961,-26.876961
49.729443,-49.729443
18.872206,-18.872206
82.049956,-82.049956
19.969494,-19.969494
139.4411,-139.4411
53.319209,-53.319209
28.708085,-28.708085
18.504944,-18.504944
