strategy,seed,round,trial,x1,x2,x3,x4,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
lhs,4,0,0,0.58639526,0.49333987,0.6009687,0.25199546,33.518445,7.1413009,0,True,2018.1816,33.518445,7.1413009
lhs,4,0,1,0.88137127,0.10121544,0.36601801,0.66682589,6.5747663,10.239507,0,True,2130.9867,6.5747663,7.1413009
lhs,4,0,2,0.67296941,0.51290056,0.75040711,0.73842218,55.168116,6.7468687,0,True,2231.7193,6.5747663,6.7468687
lhs,4,0,3,0.6346521,0.79374237,0.91304139,0.4041962,117.58519,5.1345086,0,True,2542.8551,6.5747663,5.1345086
lhs,4,0,4,0.47693648,0.050145752,0.22652506,0.84441784,10.563034,11.873666,0,True,2542.8551,6.5747663,5.1345086
lhs,4,0,5,0.043234856,0.17876757,0.6282852,0.57108833,167.65121,6.856524,0,True,2542.8551,6.5747663,5.1345086
lhs,4,0,6,0.43184377,0.883515,0.41520359,0.029443797,97.800525,5.2796496,0,True,2571.8836,6.5747663,5.1345086
lhs,4,0,7,0.1255667,0.31399187,0.82021894,0.84912461,56.724411,9.9542362,0,True,2571.8836,6.5747663,5.1345086
lhs,4,0,8,0.25978703,0.48804975,0.34177195,0.94174597,14.6789,8.7532933,0,True,2599.8832,6.5747663,5.1345086
lhs,4,1,9,0.78020713,0.96195999,0.8499591,0.12838703,195.47848,4.2602894,0,True,2700.4848,6.5747663,4.2602894
lhs,4,1,10,0.051686347,0.58846738,0.46700816,0.92068823,43.971857,4.6079722,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,11,0.80845443,0.37787896,0.3156327,0.47466672,36.180106,7.6644185,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,12,0.30675635,0.43737905,0.8776194,0.09920088,18.85805,9.0641146,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,13,0.55118201,0.74542881,0.00029012361,0.26772499,81.523615,5.5702448,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,14,0.16462569,0.4071143,0.072929793,0.17680907,24.68027,9.5121369,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,15,0.50089736,0.0054965267,0.24468859,0.33868732,9.7020242,11.708745,0,True,2874.3374,6.5747663,4.2602894
lhs,4,1,16,0.39452743,0.57416773,0.70018014,0.66085349,31.550923,7.2840561,0,True,2877.2282,6.5747663,4.2602894
lhs,4,1,17,0.36691976,0.24339293,0.50760417,0.76929152,20.905755,11.134699,0,True,2877.2282,6.5747663,4.2602894
lhs,4,2,18,0.82808751,0.16268332,0.44614279,0.36423692,15.318174,9.9244959,0,True,2877.2282,6.5747663,4.2602894
lhs,4,2,19,0.72753008,0.37499534,0.78093542,0.24044595,39.372927,7.8443708,0,True,2877.2282,6.5747663,4.2602894
lhs,4,2,20,0.84658664,0.1293505,0.16196285,0.29494607,11.771737,10.153794,0,True,2877.4774,6.5747663,4.2602894
lhs,4,2,21,0.1018262,0.91389754,0.71249633,0.088754026,1.3082839,4.8398147,0,True,3066.3704,1.3082839,4.2602894
lhs,4,2,22,0.94464154,0.34453452,0.091382698,0.312598,9.1178121,7.8339713,0,True,3066.3704,1.3082839,4.2602894
lhs,4,2,23,0.97868505,0.13997863,0.29097903,0.53119454,1.068721,9.9106452,0,True,3067.4521,1.068721,4.2602894
lhs,4,2,24,0.76929223,0.6993738,0.39031876,0.72570658,107.16007,5.3821249,0,True,3067.4521,1.068721,4.2602894
lhs,4,2,25,0.311792,0.55420523,0.90391678,0.50041561,22.292598,7.8825753,0,True,3067.4521,1.068721,4.2602894
lhs,4,2,26,0.24397198,0.76556408,0.98033811,0.050825161,21.914547,6.5875664,0,True,3067.4521,1.068721,4.2602894
lhs,4,3,27,0.14169354,0.29423419,0.21620776,0.60847475,52.997154,10.611481,0,True,3067.4521,1.068721,4.2602894
lhs,4,3,28,0.28244211,0.71166716,0.15526955,0.88481623,28.394433,6.8143014,0,True,3067.4521,1.068721,4.2602894
lhs,4,3,29,0.70245262,0.99695157,0.063507586,0.54795639,207.65666,4.2322748,0,True,3070.3348,1.068721,4.2322748
lhs,4,3,30,0.65391068,0.070988832,0.12064498,0.59742354,10.995399,10.897374,0,True,3070.3348,1.068721,4.2322748
lhs,4,3,31,0.17818478,0.65575945,0.58136641,0.97628194,3.7314553,7.2671324,0,True,3070.3348,1.068721,4.2322748
lhs,4,3,32,0.20949665,0.21541967,0.96645119,0.80951288,45.36338,12.43942,0,True,3070.3348,1.068721,4.2322748
lhs,4,3,33,0.4586119,0.8317415,0.19740781,0.22111459,88.278975,5.4257004,0,True,3070.3348,1.068721,4.2322748
lhs,4,3,34,0.97260945,0.89340805,0.51295416,0.90065655,116.82166,4.3728126,0,True,3088.8317,1.068721,4.2322748
lhs,4,3,35,0.35040182,0.63327981,0.66429187,0.016104149,34.485154,7.053727,0,True,3088.8317,1.068721,4.2322748
lhs,4,4,36,0.62088979,0.8053184,0.95360073,0.70530335,117.3863,5.1090326,0,True,3088.8317,1.068721,4.2322748
lhs,4,4,37,0.51592236,0.67284249,0.66730891,0.99053895,57.155334,6.0883996,0,True,3088.8317,1.068721,4.2322748
lhs,4,4,38,0.73732406,0.02411399,0.53916421,0.15535582,19.907749,10.623493,0,True,3088.8317,1.068721,4.2322748
lhs,4,4,39,0.016388406,0.93360145,0.28076724,0.63680209,16.563075,1.9460974,0,True,3816.3649,1.068721,1.9460974
lhs,4,4,40,0.92014283,0.61263009,0.8337138,0.79276445,53.889782,5.7235058,0,True,3816.3649,1.068721,1.9460974
lhs,4,4,41,0.55679238,0.86048587,0.55599375,0.38580874,117.04591,5.0094339,0,True,3816.3649,1.068721,1.9460974
lhs,4,4,42,0.90781734,0.46212538,0.029041525,0.42603004,28.90301,6.792803,0,True,3816.3649,1.068721,1.9460974
lhs,4,4,43,0.088413358,0.24553187,0.76652716,0.19573053,99.887168,9.3414901,0,True,3816.3649,1.068721,1.9460974
lhs,4,4,44,0.41150414,0.28245111,0.43712539,0.4476153,13.729191,10.274972,0,True,3816.3649,1.068721,1.9460974
