print_id,spec,source_trial,plate_row,plate_col,mass_g_with_label,pred_printed_mass_g,n_drops_recorded,rh_pct_at_print,defects,mapping_basis
drran1,8,36,back,left,19.31,20.14,20,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran2,5,33,back,center,19.33,19.93,20,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran3,3,31,back,right,19.92,20.19,20,11,some tiny bubbles on the diagonal tendons,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran4,1,29,middle,left,19.92,20.5,20,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran5,0,28,middle,center,19.88,19.89,20,11,some tiny bubbles on the diagonal tendons,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran6,6,34,middle,right,19.24,19.98,20,11,some tiny bubbles on the diagonal tendons,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran7,4,32,front,left,20.06,20.48,20,11,some tiny bubbles on the diagonal tendons,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran8,7,35,front,center,19.32,19.93,20,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
drran9,2,30,front,right,19.34,19.94,20,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
2dran1,8,36,back,left,19.48,20.14,0,11,none,"CONFIRMED (photos): ctrhjk 2026-09-02/09-05 print-log photos on issue 98 match each cell's design signature (t35 twist, t29 tallest, t32 widest, t31 narrow-tall, t34 short thick-cable, t36 thin-cable, clones t28/t30/t33 = fat-cable trio) under the same back-left-to-front-right raster the r2d2c batch used; clone trio internal order rests on the raster + the t28 mass match (19.88 vs 19.89 est)"
